file,D1,D2,D3,D4,D5,D6,D7,A0,A1,A2,A3,A4,A5
CFEE/Emo_04/04_098.jpg,25.179356624,23.0,27.3130005675,12.0415945788,12.1655250606,26.0192236625,70.1141925718,1.02839858974,0.311314631487,1.11934323524,0.316920155235,0.679095954094,1.08528341572
CFEE/Emo_04/04_032.jpg,26.0192236625,30.5941170816,32.5729949498,14.1421356237,15.0332963784,31.0161248385,71.0070419043,1.29371801929,0.310702125692,0.991958436101,0.276253287637,0.861696046171,1.29371801929
CFEE/Emo_04/04_220.jpg,28.0178514522,29.0688837075,29.7321374946,12.0415945788,12.0415945788,21.0,56.0089278598,1.20846976476,0.288795456782,0.806671549422,0.357526045432,0.715890066891,1.20846976476
CFEE/Emo_04/04_063.jpg,24.0831891576,32.14031736,29.8328677804,11.0453610172,10.1980390272,35.2278299076,83.486525859,1.19680844741,0.280323576582,1.05558380063,0.269167492786,0.827501869458,1.19680844741
CFEE/Emo_04/04_043.jpg,23.0,24.0831891576,25.495097568,12.0415945788,13.0,28.0,60.0,1.20068867547,0.288110915202,1.04321159429,0.275268239217,0.89951922614,1.20068867547
CFEE/Emo_04/04_179.jpg,22.360679775,19.0262975904,23.0867927612,13.0,12.0415945788,28.0713376952,55.0363516233,1.24478140592,0.318904262273,1.13504543735,0.29364287294,0.956546768814,1.24478140592
CFEE/Emo_04/04_019.jpg,28.0,25.179356624,28.8444102037,14.1421356237,14.0356688476,36.0555127546,79.1580697087,1.18356574747,0.307752706358,1.19028994968,0.313633528154,0.85477305597,1.1915808962
CFEE/Emo_04/04_173.jpg,18.1107702763,27.0739727414,26.9258240357,5.0,6.0,18.0,54.0,1.08187763748,0.311649887811,0.984657075128,0.216054206537,0.621323599426,1.10207691006
CFEE/Emo_04/04_012.jpg,31.0161248385,26.0768096208,32.2024843762,14.0356688476,14.0356688476,29.0172362571,75.1065909225,1.10714871779,0.270699605545,0.999236228977,0.311974329549,0.720273000063,1.1843492417
CFEE/Emo_04/04_140.jpg,29.0172362571,31.0161248385,28.231188427,16.0312195419,15.0332963784,28.0178514522,58.0086200491,1.23960640625,0.261229897864,0.976300308019,0.329605081135,0.835416005083,1.40590963523
CFEE/Emo_04/04_037.jpg,22.2036033112,33.1360830516,36.6878726557,12.0415945788,12.0415945788,35.0570962859,69.2603782837,1.22406740507,0.312464330417,0.938476860594,0.245720965315,0.918996106737,1.22406740507
CFEE/Emo_04/04_148.jpg,34.0147027034,29.2745623366,33.1058907145,11.0,11.0453610172,28.0713376952,58.0775343829,1.24020513828,0.259923469771,1.01290991488,0.396743818455,0.900274768814,1.24020513828
CFEE/Emo_04/04_210.jpg,22.360679775,32.0624390838,31.7804971641,13.0384048104,13.152946438,31.064449134,62.3939099592,1.22181208086,0.287783041718,0.954552646043,0.247681359249,0.913610832764,1.26970733743
CFEE/Emo_04/04_177.jpg,11.1803398875,24.0831891576,29.4108823397,10.0,10.1980390272,29.0,49.040799341,1.43647488484,0.335767092112,0.923050246532,0.143507511719,1.05090782219,1.45823853774
CFEE/Emo_04/04_106.jpg,21.0950231097,24.0831891576,29.7321374946,9.05538513814,10.0498756211,25.079872408,64.1248781675,1.16748210274,0.324388244989,1.02514127227,0.255225441316,0.766532477376,1.16748210274
CFEE/Emo_04/04_187.jpg,33.5410196625,16.1245154966,24.5967477525,9.0,9.21954445729,28.0178514522,61.2045749924,1.23833537378,0.249978621461,1.23150371234,0.486834027177,0.882297470469,1.23833537378
CFEE/Emo_04/04_228.jpg,22.0,21.0950231097,21.0237960416,9.0,9.05538513814,18.0277563773,58.137767415,1.0673969424,0.274624163331,0.996109087461,0.299065419704,0.631854380858,1.0673969424
CFEE/Emo_04/04_129.jpg,26.0768096208,21.0950231097,24.1867732449,15.0332963784,15.0332963784,30.0166620396,51.0098029794,1.44940921633,0.257404426724,1.15257199722,0.326240581952,0.987540964882,1.59109810565
CFEE/Emo_04/04_078.jpg,20.0,21.2132034356,22.8473193176,11.0453610172,10.0498756211,25.0199920064,73.1095069057,1.04552471489,0.337874775865,1.01219701145,0.251785961984,0.600450093416,1.20266555547
CFEE/Emo_04/04_046.jpg,32.2490309932,21.2132034356,22.2036033112,13.152946438,13.0,35.0142828,66.1211010193,1.2232578396,0.271268447508,1.08246237574,0.377732599018,0.938690335342,1.2232578396
CFEE/Emo_04/04_118.jpg,18.4390889146,23.1948270095,22.4722050542,12.0415945788,11.0,26.0768096208,81.614949611,1.02984936067,0.321676769995,1.05177706781,0.214188647295,0.599488099914,1.05447985978
CFEE/Emo_04/04_089.jpg,14.0356688476,25.179356624,30.6757233004,11.0,11.0,23.0217288664,61.0737259384,1.08695830991,0.326224065198,0.995907725525,0.165423050922,0.675396250125,1.25428132665
